iter	Passed	Remaining
784	13281	3637
785	13297	3620
786	13312	3603
787	13331	3586
788	13347	3569
789	13363	3552
790	13378	3534
791	13399	3519
792	13421	3503
793	13444	3488
794	13471	3473
795	13498	3459
796	13522	3444
797	13551	3430
798	13571	3414
799	13591	3397
800	13610	3381
801	13629	3364
802	13647	3348
803	13665	3331
804	13687	3315
805	13703	3298
806	13720	3281
807	13737	3264
808	13753	3247
809	13769	3229
810	13786	3212
811	13802	3195
812	13818	3178
813	13834	3161
814	13851	3144
815	13866	3126
816	13882	3109
817	13901	3092
818	13923	3077
819	13939	3059
820	13956	3042
821	13973	3025
822	13990	3008
823	14008	2992
824	14023	2974
825	14040	2957
826	14056	2940
827	14071	2923
828	14086	2905
829	14104	2888
830	14125	2872
831	14144	2856
832	14160	2838
833	14175	2821
834	14193	2804
835	14212	2788
836	14227	2770
837	14244	2753
838	14264	2737
839	14283	2720
840	14300	2703
841	14322	2687
842	14341	2671
843	14359	2654
844	14376	2637
845	14393	2620
846	14409	2602
847	14425	2585
848	14440	2568
849	14456	2551
850	14472	2533
851	14487	2516
852	14504	2499
853	14519	2482
854	14538	2465
855	14559	2449
856	14581	2433
857	14604	2417
858	14621	2400
859	14639	2383
860	14656	2366
861	14672	2348
862	14688	2331
863	14705	2314
864	14722	2297
865	14740	2280
866	14762	2264
867	14781	2247
868	14798	2230
869	14812	2213
870	14827	2195
871	14844	2178
872	14859	2161
873	14877	2144
874	14895	2127
875	14912	2110
876	14928	2093
877	14944	2076
878	14966	2060
879	14986	2043
880	15002	2026
881	15018	2009
882	15035	1992
883	15053	1975
884	15071	1958
885	15086	1941
886	15102	1924
887	15119	1907
888	15134	1889
889	15155	1873
890	15175	1856
891	15192	1839
892	15209	1822
893	15226	1805
894	15241	1788
895	15260	1771
896	15277	1754
897	15292	1737
898	15309	1719
899	15325	1702
900	15343	1685
901	15359	1668
902	15379	1652
903	15399	1635
904	15417	1618
905	15433	1601
906	15451	1584
907	15467	1567
908	15486	1550
909	15503	1533
910	15520	1516
911	15540	1499
912	15558	1482
913	15576	1465
914	15599	1449
915	15619	1432
916	15637	1415
917	15654	1398
918	15672	1381
919	15688	1364
920	15705	1347
921	15722	1330
922	15739	1313
923	15754	1295
924	15772	1278
925	15788	1261
926	15806	1244
927	15826	1227
928	15844	1210
929	15859	1193
930	15875	1176
931	15891	1159
932	15908	1142
933	15926	1125
934	15942	1108
935	15957	1091
936	15973	1074
937	15990	1056
938	16005	1039
939	16027	1023
940	16046	1006
941	16062	988
942	16078	971
943	16095	954
944	16113	937
945	16128	920
946	16144	903
947	16160	886
948	16178	869
949	16193	852
950	16209	835
951	16224	818
952	16248	801
953	16267	784
954	16284	767
955	16300	750
956	16316	733
957	16331	715
958	16347	698
959	16361	681
960	16377	664
961	16392	647
962	16410	630
963	16426	613
964	16441	596
965	16459	579
966	16480	562
967	16497	545
968	16514	528
969	16531	511
970	16548	494
971	16563	477
972	16580	460
973	16597	443
974	16615	426
975	16632	408
976	16646	391
977	16665	374
978	16687	357
979	16706	340
980	16722	323
981	16738	306
982	16753	289
983	16768	272
984	16784	255
985	16802	238
986	16820	221
987	16837	204
988	16852	187
989	16871	170
990	16890	153
991	16905	136
992	16921	119
993	16939	102
994	16957	85
995	16974	68
996	16990	51
997	17004	34
998	17019	17
999	17035	0
